order_id,user_id,order_date,category,revenue,discount,cost
167,4434,2024-12-13,sports,74.04,9.56,34.98
168,2897,2025-08-10,beauty,114.39,5.29,48.22
169,2438,2025-03-12,beauty,93.92,4.17,63.8
170,1645,2025-10-22,sports,60.53,8.46,38.46
171,1031,2026-03-30,beauty,30.43,1.99,13.16
172,3903,2025-12-06,electronics,50.27,1.37,30.98
173,21,2026-04-28,fashion,36.85,2.94,19.75
174,2208,2024-06-23,home,119.97,3.44,57.91
175,4799,2025-03-03,fashion,20.23,0.35,10.3
176,3901,2024-06-17,sports,127.36,10.86,75.87
177,944,2026-01-26,sports,19.53,1.92,11.31
178,3353,2025-11-08,electronics,92.52,7.85,61.39
179,3697,2025-04-04,fashion,73.0,7.23,35.96
180,1270,2026-04-06,electronics,11.13,0.92,6.72
181,4137,2026-01-10,beauty,22.99,1.76,9.96
182,2988,2026-01-01,fashion,68.92,5.22,44.18
183,3652,2025-02-09,home,111.83,17.65,56.5
184,2965,2024-09-04,home,2.25,0.35,1.23
185,2439,2024-11-22,fashion,34.63,4.3,15.12
186,103,2025-08-01,fashion,12.77,2.38,6.9
187,3078,2024-12-17,beauty,60.65,5.98,39.22
188,4083,2025-05-08,home,30.11,5.97,19.81
189,3855,2025-07-03,fashion,25.17,4.49,12.67
190,887,2024-08-01,sports,78.72,2.7,31.88
191,1716,2024-10-04,sports,33.96,1.16,18.79
192,1271,2025-12-20,beauty,88.68,4.09,41.42
193,3993,2025-01-19,electronics,85.09,1.63,55.46
194,3649,2024-08-27,fashion,60.29,8.69,37.38
195,3223,2024-07-20,sports,51.14,3.73,34.09
196,2241,2026-06-01,fashion,33.62,5.94,20.05
197,4713,2024-12-12,fashion,108.42,15.3,67.87
198,4045,2026-05-13,home,63.02,5.72,34.75
199,4074,2026-04-03,electronics,79.38,12.7,32.27
200,1321,2025-07-24,beauty,16.6,2.73,9.33
201,4517,2025-05-02,beauty,12.87,1.17,8.62
202,670,2025-12-12,electronics,58.38,5.12,28.0
203,4319,2026-05-12,sports,119.73,2.22,64.03
204,355,2025-04-01,sports,38.5,2.21,18.31
205,170,2025-06-07,home,73.46,12.93,46.25
206,3837,2026-01-17,sports,63.97,8.27,43.81
207,545,2024-08-20,electronics,4.44,0.23,2.24
208,3685,2025-09-10,sports,109.38,16.33,73.65
209,2746,2024-08-29,fashion,15.92,2.58,7.6
210,1699,2025-07-13,beauty,66.55,6.87,30.49
211,861,2024-09-27,beauty,78.63,13.43,42.19
212,449,2025-10-23,fashion,12.54,1.52,8.13
213,642,2026-03-14,fashion,17.43,0.06,10.48
214,2796,2025-04-18,beauty,48.31,5.39,21.61
215,4348,2024-08-13,sports,33.36,6.25,18.1
216,802,2025-09-18,home,94.74,16.07,55.22
217,502,2025-08-31,home,85.38,4.24,44.54
218,4078,2024-08-03,sports,81.22,1.97,36.07
219,4321,2025-05-19,fashion,19.74,0.24,7.99
220,4386,2025-11-12,fashion,138.14,10.11,84.63
221,3256,2024-09-25,fashion,31.48,6.1,18.33
222,1306,2024-12-16,electronics,53.62,3.23,30.46
223,326,2025-01-28,sports,115.09,10.67,75.69
224,2112,2025-01-04,electronics,100.89,14.18,65.14
225,4375,2026-04-07,electronics,41.09,2.61,20.35
226,2079,2025-02-15,electronics,59.31,9.77,32.64
227,1641,2026-06-05,electronics,67.41,0.76,34.65
228,4326,2026-02-28,electronics,14.05,0.37,6.9
229,3014,2025-04-17,sports,25.68,0.35,16.65
230,4558,2025-12-12,home,34.76,6.88,23.54
231,3008,2026-03-24,fashion,16.29,0.06,6.74
232,2869,2026-01-08,home,98.24,11.83,60.23
233,3504,2025-02-24,beauty,15.94,0.41,11.02
234,4287,2025-02-18,beauty,6.9,0.46,2.76
235,366,2025-06-02,beauty,89.68,14.1,57.97
236,3903,2025-01-13,sports,23.0,3.76,11.13
237,4739,2024-12-14,sports,52.53,2.91,21.25
238,3193,2024-08-13,electronics,68.44,2.67,35.23
239,4861,2024-11-20,electronics,25.01,2.32,11.46
240,1302,2024-09-29,home,85.43,4.67,50.8
241,216,2026-02-11,electronics,54.44,6.83,22.44
242,266,2026-02-04,electronics,44.81,2.92,27.36
243,3904,2025-09-13,electronics,26.67,0.17,16.45
244,785,2024-09-08,electronics,58.64,4.74,35.91
245,299,2024-10-14,electronics,53.07,7.42,30.16
246,4995,2024-09-06,beauty,30.27,1.77,17.82
247,1301,2024-10-21,fashion,33.09,0.14,16.64
248,2569,2025-05-31,electronics,22.5,2.92,9.85
249,3478,2025-06-12,sports,40.55,2.98,24.65
250,2218,2025-02-14,electronics,49.27,3.92,30.44
251,229,2025-04-27,sports,23.03,0.14,14.79
252,241,2024-09-17,sports,51.07,9.61,26.31
253,4982,2025-08-06,home,80.09,13.46,47.52
254,3990,2025-03-21,sports,27.53,2.53,11.53
255,1388,2026-02-04,sports,34.13,1.7,21.31
256,2539,2024-11-24,electronics,93.91,3.39,47.8
257,4446,2025-06-02,electronics,87.67,7.19,35.19
258,700,2025-02-10,sports,43.35,0.31,20.59
259,3042,2025-06-10,home,23.03,4.57,10.19
260,2365,2025-01-07,beauty,66.83,6.97,32.42
261,4426,2026-04-09,home,83.78,5.86,40.59
262,2016,2024-09-17,home,21.38,0.22,9.72
263,3332,2024-08-25,sports,158.59,12.74,78.29
264,4102,2024-10-16,electronics,94.68,2.94,42.48
265,135,2026-03-05,sports,73.86,4.98,48.87
266,3315,2025-11-30,beauty,45.91,3.91,23.07
267,2548,2025-02-07,fashion,85.74,12.76,58.71
268,4600,2026-03-19,electronics,43.64,3.04,28.24
269,2656,2025-12-15,home,73.9,5.61,35.46
270,959,2025-12-09,electronics,24.74,4.7,17.23
271,124,2025-09-27,beauty,200.17,27.03,128.7
272,3395,2024-07-17,fashion,45.95,5.13,26.58
273,577,2024-11-30,sports,46.31,7.0,29.48
274,3361,2026-03-27,fashion,29.09,1.35,18.32
275,995,2026-04-12,fashion,89.55,13.73,58.9
276,1385,2025-02-25,electronics,66.11,7.13,46.18
277,2665,2024-10-09,sports,10.09,1.65,5.82
278,701,2024-08-25,electronics,25.86,1.35,15.36
279,2130,2025-12-20,home,39.7,3.27,21.46
280,421,2024-12-25,electronics,65.3,12.21,43.73
281,3897,2025-03-19,sports,149.26,18.2,86.53
282,1387,2025-04-19,sports,31.96,5.49,13.55
283,1585,2025-07-19,sports,43.88,4.54,30.33
284,3102,2024-07-24,fashion,55.39,5.64,23.51
285,4388,2025-11-23,home,62.33,0.95,27.23
286,3318,2025-02-03,electronics,34.88,3.9,20.27
287,3781,2025-01-04,home,38.16,0.8,21.05
288,2238,2026-03-14,home,39.4,1.37,26.64
289,2430,2024-10-29,beauty,20.38,0.39,13.87
290,3450,2024-07-10,home,112.07,8.55,72.97
291,2768,2025-04-26,home,47.84,3.06,29.78
292,4981,2026-04-10,beauty,62.13,4.99,25.8
293,1584,2025-06-02,sports,32.69,0.29,15.37
294,3186,2025-08-21,electronics,26.8,2.27,14.19
295,4265,2026-01-18,beauty,34.83,1.24,21.05
296,880,2025-08-17,beauty,7.6,0.12,4.51
297,3083,2024-12-27,home,85.93,4.55,47.21
298,4942,2024-08-28,home,112.73,13.32,48.39
299,3603,2025-06-09,electronics,40.76,0.03,28.0
300,2625,2024-09-03,home,129.53,3.97,76.54
301,2643,2026-03-02,sports,80.0,1.8,34.65
302,2792,2026-02-22,fashion,35.3,3.47,17.84
303,4601,2024-10-02,sports,23.41,3.74,9.75
304,268,2024-09-18,home,149.95,28.04,77.11
305,1446,2024-06-25,home,58.88,10.91,28.56
306,2667,2024-08-02,sports,29.59,3.04,13.38
307,1562,2026-03-22,sports,54.9,2.52,36.77
308,4891,2026-02-12,sports,22.39,1.29,14.03
309,1364,2024-12-05,beauty,104.71,0.22,70.38
310,4939,2024-09-25,home,49.66,0.27,25.35
311,1871,2024-11-16,sports,239.73,31.7,99.1
312,1201,2026-03-17,electronics,84.84,9.99,56.49
313,4031,2025-04-23,beauty,35.49,0.16,16.07
314,937,2025-04-01,fashion,58.26,8.03,25.83
315,175,2025-12-01,electronics,19.19,0.24,7.78
316,4099,2025-10-18,home,23.43,0.8,14.59
317,3512,2026-06-14,fashion,142.62,26.48,87.76
318,269,2025-10-29,sports,43.93,1.07,20.45
319,2181,2024-08-20,fashion,17.58,2.9,12.22
320,8,2025-09-11,beauty,13.6,0.6,8.53
321,2941,2025-09-14,sports,109.51,13.23,76.57
322,1184,2025-01-03,electronics,26.99,4.42,12.95
323,4535,2026-05-29,sports,41.98,1.07,22.64
324,4802,2026-03-09,beauty,173.08,21.46,94.75
325,763,2024-08-13,sports,62.04,1.27,25.05
326,4677,2024-07-02,electronics,135.64,20.44,90.42
327,365,2024-08-05,electronics,37.32,4.93,16.49
328,4800,2024-11-16,home,126.56,0.83,63.71
329,1070,2026-05-17,home,55.65,6.76,28.49
330,4588,2025-10-30,electronics,35.34,5.66,22.64
331,216,2025-05-26,electronics,53.87,1.21,28.89
332,3970,2026-03-06,beauty,20.74,1.88,8.59
333,4065,2024-09-24,home,29.57,4.58,12.29
334,502,2024-08-26,home,29.45,2.53,15.51
335,360,2026-05-19,beauty,35.33,6.21,19.26
336,118,2026-04-05,beauty,42.35,7.84,20.04
337,2346,2026-03-22,sports,13.25,2.65,6.82
338,377,2026-03-06,electronics,41.11,0.91,28.24
339,771,2025-02-28,beauty,2.5,0.48,1.12
340,861,2024-09-19,sports,105.93,10.27,68.78
341,2118,2024-07-19,sports,203.0,39.87,133.18
342,3686,2025-06-09,home,73.04,11.27,33.67
343,870,2024-07-25,sports,36.58,0.32,23.95
344,3142,2024-10-24,beauty,16.54,2.59,10.83
345,1990,2026-06-03,electronics,110.33,3.49,47.14
346,1040,2025-09-04,sports,116.33,1.43,73.62
347,448,2025-05-18,electronics,14.11,1.55,8.8
348,1571,2026-03-16,home,38.79,2.26,22.77
349,1283,2025-12-30,electronics,28.26,3.69,19.11
350,4700,2025-04-18,fashion,24.28,2.16,10.18
351,4839,2025-07-06,fashion,63.89,0.11,42.36
352,3811,2024-07-08,beauty,78.96,9.32,37.45
353,4110,2025-04-09,home,75.33,4.21,32.18
354,1047,2025-11-28,electronics,89.97,7.39,39.13
355,3155,2025-05-13,fashion,23.19,0.22,10.5
356,4979,2024-10-28,home,31.51,2.9,21.1
357,3994,2025-03-17,fashion,68.55,1.85,44.16
358,4252,2024-11-29,electronics,382.26,28.81,219.63
359,2422,2026-05-22,beauty,43.69,8.28,29.82
360,929,2024-11-08,sports,59.87,10.2,30.15
361,4072,2025-01-15,beauty,70.99,7.1,43.07
362,3750,2025-01-19,electronics,28.42,4.53,11.76
363,2021,2025-05-28,fashion,21.2,2.47,12.06
364,2325,2026-05-03,sports,77.64,15.08,35.13
365,4012,2024-10-09,sports,104.71,3.57,50.06
366,3093,2024-07-12,beauty,82.37,10.3,56.63
367,1733,2025-10-05,beauty,37.09,7.0,19.85
368,2190,2025-10-09,sports,72.03,7.12,29.97
369,4139,2025-10-08,electronics,62.03,6.16,38.76
370,3847,2024-12-23,home,121.14,19.82,72.02
371,1933,2025-10-31,beauty,32.61,2.2,18.54
372,2935,2025-01-31,electronics,28.03,2.25,17.97
373,4935,2025-07-08,beauty,55.44,1.76,33.96
374,308,2025-05-02,sports,15.63,2.03,7.17
375,3067,2026-05-02,sports,20.77,2.68,12.25
376,4748,2025-08-17,fashion,19.9,2.5,12.44
377,4308,2025-06-23,beauty,225.85,14.38,111.85
378,4256,2024-08-02,sports,39.69,6.55,27.2
379,2259,2024-08-23,electronics,145.04,23.94,70.94
380,1449,2025-01-19,beauty,170.72,13.17,113.76
381,268,2025-04-09,electronics,26.94,0.16,14.83
382,4761,2024-09-30,home,16.35,2.04,11.06
383,1016,2025-05-07,beauty,36.82,6.85,24.64
384,4826,2024-11-17,electronics,45.89,0.42,18.72
385,3872,2025-10-28,fashion,13.73,2.63,6.68
386,4999,2026-05-04,beauty,35.23,6.91,16.85
387,4906,2026-02-25,sports,97.28,12.57,52.2
388,4957,2025-07-29,sports,43.09,2.94,20.38
389,4617,2024-12-26,beauty,6.95,1.18,4.31
390,2463,2025-10-18,home,24.32,1.34,16.08
391,4294,2026-03-01,sports,12.76,0.59,8.92
392,2419,2025-08-12,fashion,11.05,0.61,6.42
393,4834,2026-02-23,sports,63.39,8.14,33.97
394,4135,2024-07-01,beauty,93.68,11.5,50.02
395,1124,2025-04-09,beauty,31.59,3.32,18.05
396,4322,2026-02-13,sports,53.88,4.95,21.72
397,2283,2025-12-22,beauty,38.11,0.47,19.19
398,1989,2025-03-21,electronics,178.78,11.71,82.4
399,501,2025-06-23,electronics,17.07,3.32,11.28
400,3464,2025-08-12,home,78.18,7.44,44.69
401,3136,2026-02-12,home,104.1,2.07,44.57
402,4510,2025-06-27,beauty,17.31,0.24,8.75
403,3775,2025-03-10,beauty,60.35,8.18,25.88
404,1653,2026-05-25,fashion,27.89,0.15,11.82
405,472,2025-08-29,electronics,75.8,6.41,45.67
406,3495,2025-07-11,beauty,45.37,0.67,21.68
407,2261,2025-02-20,fashion,36.17,6.29,20.28
408,4500,2025-04-13,sports,147.4,18.73,93.74
409,4424,2025-01-12,sports,50.54,1.0,33.96
410,687,2024-11-02,beauty,45.21,5.68,24.39
411,3935,2024-07-06,fashion,26.31,1.6,11.98
412,3400,2025-02-18,fashion,40.23,1.62,28.07
413,1342,2025-09-22,home,137.15,2.69,86.91
414,3335,2024-12-03,beauty,28.16,4.52,17.43
415,4068,2024-07-08,electronics,95.59,12.79,38.34
416,2608,2026-05-12,beauty,94.13,14.46,50.39
417,2311,2026-03-07,beauty,67.21,10.06,31.18
418,4823,2026-02-10,home,38.77,4.61,26.18
419,1113,2025-01-20,sports,18.56,0.43,12.61
420,874,2024-07-31,sports,32.66,0.0,15.13
421,1334,2026-03-06,fashion,17.22,2.73,11.24
422,4811,2025-06-17,sports,25.81,4.33,15.13
423,4649,2025-08-01,home,10.09,1.37,4.21
424,64,2025-03-20,fashion,14.01,1.62,7.17
425,3326,2026-02-01,beauty,138.02,23.13,79.89
426,593,2025-09-12,electronics,83.7,3.64,39.91
427,1848,2024-12-13,beauty,54.93,3.6,34.45
428,1334,2024-10-17,sports,9.36,0.88,4.4
429,2122,2024-09-01,beauty,53.81,6.58,25.71
430,4942,2024-12-25,electronics,32.79,0.75,16.24
431,3850,2025-11-08,electronics,54.5,8.46,27.95
432,526,2024-12-20,fashion,38.71,3.83,16.44
433,2509,2025-01-09,sports,35.9,0.15,14.56
434,2230,2025-08-04,sports,95.09,13.16,39.78
435,4291,2026-03-12,home,156.59,6.36,81.57
436,3142,2026-02-20,sports,62.07,8.24,37.97
437,3988,2026-05-29,fashion,61.13,6.89,40.89
438,4000,2026-01-09,sports,2.14,0.36,1.36
439,2670,2024-07-29,electronics,77.55,14.28,38.99
440,247,2026-01-30,sports,91.68,17.13,42.02
441,1132,2024-12-03,fashion,48.21,6.73,28.47
442,1489,2025-09-06,beauty,113.82,10.14,54.49
443,2948,2026-04-04,electronics,46.81,5.91,24.69
444,4454,2026-02-25,fashion,34.24,0.45,13.9
445,3866,2025-04-13,electronics,43.53,1.44,25.46
446,1644,2025-03-18,beauty,10.6,0.2,5.76
447,4553,2026-06-12,fashion,29.81,2.66,16.97
448,277,2026-03-29,fashion,48.32,8.07,26.11
449,227,2026-04-03,electronics,12.92,0.23,5.34
450,1905,2024-10-28,sports,72.2,3.35,34.01
451,4833,2024-10-30,beauty,57.04,0.93,35.13
452,3922,2024-12-16,electronics,46.88,3.57,30.13
453,352,2025-09-19,fashion,53.38,8.04,35.12
454,1334,2025-02-18,home,29.31,4.04,17.75
455,3356,2026-03-04,fashion,73.38,3.74,31.02
456,4632,2026-01-10,home,59.31,5.52,36.2
457,3028,2025-12-09,beauty,98.97,13.74,48.63
458,1224,2025-03-21,electronics,38.26,3.07,20.6
459,1579,2026-05-26,beauty,51.24,3.75,33.86
460,3526,2025-09-18,electronics,68.15,10.38,40.4
461,3857,2024-07-07,sports,141.36,9.89,98.86
462,2347,2025-12-14,electronics,86.71,6.75,60.38
463,3924,2025-12-12,fashion,87.9,10.95,52.62
464,1536,2025-03-16,sports,75.65,8.64,36.25
465,131,2025-08-30,electronics,17.71,2.78,10.49
466,4610,2025-08-27,electronics,98.47,8.44,61.0
467,399,2024-10-04,home,66.22,2.84,40.31
468,2633,2025-08-27,sports,31.39,3.88,19.78
469,2974,2024-11-09,electronics,21.76,3.43,12.62
470,639,2026-03-27,home,48.49,5.95,22.39
471,4629,2026-03-07,beauty,34.36,0.8,19.47
472,58,2026-05-01,sports,52.93,6.99,31.66
473,4257,2025-07-03,electronics,92.43,4.09,63.02
474,790,2025-08-11,sports,15.28,1.6,8.81
475,2863,2025-02-11,electronics,19.03,0.58,11.36
476,1944,2024-10-30,electronics,50.41,1.43,34.64
477,185,2025-07-01,electronics,89.67,2.41,53.91
478,4740,2024-07-15,beauty,45.08,6.91,19.68
479,4782,2024-08-25,fashion,44.6,8.51,24.89
480,183,2024-07-29,fashion,47.72,1.29,29.58
481,4406,2024-12-13,beauty,113.73,2.27,62.19
482,2223,2025-09-26,home,27.26,1.06,16.14
483,982,2024-12-02,beauty,17.01,2.84,7.83
484,3991,2024-07-01,home,115.69,3.2,64.99
485,1643,2025-07-29,beauty,27.21,0.33,11.38
486,3081,2025-06-22,sports,183.13,11.15,109.16
487,1077,2024-06-16,electronics,182.45,5.64,117.32
488,1377,2025-02-28,home,39.27,1.58,25.75
489,1212,2026-05-29,sports,33.22,3.81,21.91
490,4149,2025-10-06,fashion,18.32,1.99,8.56
491,1644,2024-11-19,electronics,34.27,3.82,14.71
492,2633,2026-03-04,home,18.21,1.19,9.73
493,780,2024-09-25,fashion,62.79,12.21,42.64
494,299,2025-03-07,sports,45.55,7.37,28.4
495,577,2025-12-24,fashion,58.34,8.67,35.77
496,1348,2024-10-31,sports,88.55,14.97,47.31
497,4177,2026-05-30,fashion,21.95,2.89,9.12
498,4843,2026-03-01,sports,132.98,15.64,86.7
499,2959,2026-04-02,electronics,10.61,1.12,7.19
500,4035,2026-04-21,fashion,20.58,0.04,13.9
501,72,2025-02-22,sports,101.21,19.34,53.02
502,738,2024-08-01,home,24.25,2.44,12.71
503,3206,2024-07-03,electronics,94.81,10.03,48.67
504,2063,2024-10-08,fashion,24.6,3.15,14.83
505,4412,2025-09-14,beauty,221.07,42.29,116.18
506,4889,2025-12-15,fashion,106.56,8.38,53.62
507,2766,2026-05-29,electronics,53.27,5.41,23.17
508,976,2024-10-04,home,46.01,6.59,23.86
509,1580,2026-02-07,electronics,145.08,16.71,65.53
510,1094,2024-09-10,fashion,118.71,8.01,63.73
511,2326,2026-04-04,fashion,53.73,4.02,32.4
