activity_id,user_id,activity_date,session_duration,pages_viewed,action_type
160,1884,2024-10-20,12,19,view
161,607,2026-01-20,6,19,login
162,1766,2026-03-27,53,1,add_to_cart
163,1111,2026-04-06,24,11,add_to_cart
164,2329,2025-08-23,47,15,login
165,3077,2026-05-21,22,7,login
166,1756,2025-12-23,31,9,add_to_cart
167,1793,2026-02-12,10,18,login
168,1435,2026-04-05,4,4,view
169,1589,2026-06-12,18,13,login
170,3161,2025-03-27,3,10,login
171,52,2024-06-29,11,3,view
172,2582,2025-07-01,37,7,view
173,3551,2026-05-30,13,17,add_to_cart
174,3620,2026-05-25,53,11,view
175,3806,2025-12-13,30,10,view
176,2164,2024-09-02,8,11,login
177,4396,2025-09-25,43,6,login
178,401,2025-05-10,47,13,login
179,3795,2024-08-20,44,10,view
180,2541,2024-10-13,13,13,login
181,3397,2025-09-18,25,15,login
182,3179,2024-12-03,59,19,add_to_cart
183,4495,2024-11-24,48,18,login
184,312,2026-03-09,27,12,view
185,1119,2024-10-03,58,6,view
186,849,2024-08-12,21,19,view
187,3601,2026-01-29,52,7,add_to_cart
188,3592,2024-11-14,18,14,view
189,232,2025-01-19,12,16,login
190,2613,2025-09-06,1,15,view
191,3214,2025-03-17,7,2,login
192,29,2024-10-20,8,5,view
193,3365,2024-09-28,31,14,purchase
194,3176,2024-07-18,19,12,login
195,3881,2025-08-26,18,3,add_to_cart
196,2956,2026-04-23,50,7,login
197,4937,2026-04-14,10,14,add_to_cart
198,1254,2026-02-05,31,3,login
199,920,2026-03-05,3,3,view
200,3370,2025-01-07,51,3,add_to_cart
201,2482,2024-07-18,16,12,login
202,3654,2025-11-15,12,17,view
203,2094,2024-07-26,58,3,view
204,4926,2026-03-20,39,16,add_to_cart
205,1110,2024-11-28,3,4,login
206,4135,2025-06-22,30,16,login
207,1978,2026-04-24,51,6,view
208,2601,2025-11-23,11,2,login
209,1319,2024-08-11,2,11,login
210,1204,2026-06-12,15,8,add_to_cart
211,2735,2026-06-07,29,10,view
212,318,2025-06-16,20,18,view
213,2497,2025-07-06,27,15,login
214,4798,2025-03-25,39,16,add_to_cart
215,473,2025-07-26,56,14,login
216,4671,2025-08-21,35,11,view
217,4056,2025-03-13,7,3,view
218,114,2025-04-11,28,13,login
219,1521,2024-10-14,16,19,login
220,2293,2025-12-24,7,5,view
221,2185,2025-05-30,45,1,login
222,3920,2024-12-30,26,4,login
223,3710,2025-08-10,29,3,view
224,529,2024-06-21,9,18,login
225,2945,2025-04-13,26,19,view
226,759,2025-04-22,50,14,add_to_cart
227,2846,2024-09-06,8,5,view
228,1623,2024-08-08,15,1,login
229,3468,2025-12-04,19,19,purchase
230,1048,2026-05-30,5,8,login
231,4376,2026-05-13,12,7,purchase
232,4346,2024-11-03,44,2,view
233,1213,2026-05-20,30,8,view
234,1427,2025-05-03,53,19,view
235,1517,2026-02-18,51,2,login
236,3401,2026-01-12,10,8,view
237,3906,2024-09-25,4,9,view
238,2937,2025-12-27,54,10,login
239,4680,2024-07-11,15,16,add_to_cart
240,3015,2025-11-02,50,18,login
241,1563,2024-12-11,58,17,add_to_cart
242,3771,2026-05-29,33,4,login
243,4410,2024-08-01,26,1,add_to_cart
244,4935,2025-04-13,6,16,login
245,4624,2025-09-18,18,11,view
246,3244,2026-03-22,55,13,login
247,4961,2025-03-30,3,16,login
248,3634,2024-08-12,29,13,view
249,1809,2025-05-15,49,17,purchase
250,2991,2025-02-17,8,8,view
251,574,2025-07-01,27,2,view
252,2027,2025-11-21,2,16,view
253,4573,2024-08-27,11,13,login
254,4042,2024-10-24,55,19,view
255,1605,2024-09-09,55,15,view
256,1797,2024-09-15,50,1,login
257,3606,2025-08-20,12,13,add_to_cart
258,3634,2025-05-17,45,1,view
259,3548,2024-07-23,4,7,view
260,858,2026-03-23,34,17,add_to_cart
261,2603,2025-10-28,2,15,login
262,2186,2024-08-04,17,1,add_to_cart
263,2544,2025-08-11,38,5,add_to_cart
264,3714,2024-08-18,16,2,view
265,2976,2026-05-15,1,13,view
266,210,2024-09-18,53,4,view
267,923,2025-11-16,59,7,add_to_cart
268,4734,2026-01-03,25,2,login
269,4915,2024-09-26,47,8,add_to_cart
270,2143,2026-04-17,34,13,login
271,3087,2025-11-16,49,7,view
272,1654,2025-12-19,25,6,login
273,2686,2025-10-30,24,14,view
274,3552,2026-02-11,10,12,login
275,4400,2024-12-11,45,14,login
276,520,2026-04-26,31,16,login
277,2652,2025-11-25,39,10,login
278,149,2025-10-06,12,17,login
279,3461,2026-04-02,6,9,login
280,1968,2025-10-01,52,10,add_to_cart
281,3055,2026-06-05,57,1,view
282,4189,2024-12-05,49,19,view
283,3877,2024-11-14,46,1,login
284,1076,2024-08-01,23,4,login
285,3964,2024-11-04,21,5,login
286,796,2025-02-23,22,2,add_to_cart
287,2066,2025-03-20,50,16,view
288,3361,2025-09-12,10,5,add_to_cart
289,4217,2026-04-26,54,10,purchase
290,3528,2026-01-16,15,15,view
291,3923,2025-07-15,58,11,login
292,901,2026-02-03,21,2,login
293,75,2025-07-05,47,19,add_to_cart
294,1907,2025-09-10,12,15,view
295,2917,2025-12-27,52,14,view
296,1845,2026-05-27,12,3,add_to_cart
297,4007,2024-09-29,42,14,add_to_cart
298,2520,2024-08-01,4,3,login
299,2562,2025-05-15,22,18,add_to_cart
300,610,2026-02-18,48,8,login
301,1230,2024-10-11,17,2,view
302,4181,2024-12-04,35,4,add_to_cart
303,2491,2024-09-13,7,2,purchase
304,188,2026-02-20,28,1,purchase
305,2728,2025-01-22,28,19,view
306,1155,2026-03-11,39,18,login
307,2218,2025-11-12,35,11,add_to_cart
308,3167,2025-03-07,19,19,view
309,974,2025-09-25,52,10,add_to_cart
310,3308,2025-05-16,19,2,purchase
311,4220,2025-08-21,16,9,add_to_cart
312,2291,2025-11-09,54,6,view
313,2366,2025-12-02,43,9,view
314,589,2025-07-13,57,9,view
315,2484,2025-12-12,5,3,add_to_cart
316,150,2025-09-29,55,7,login
317,2677,2026-04-04,50,1,add_to_cart
318,1329,2026-03-11,25,5,view
319,2357,2024-09-05,48,12,add_to_cart
320,3185,2026-04-03,6,17,login
321,380,2024-07-01,7,18,login
322,399,2026-05-01,20,17,view
323,3929,2025-09-11,15,16,view
324,469,2025-12-14,54,14,view
325,2435,2025-04-12,11,4,view
326,1345,2025-10-20,50,10,add_to_cart
327,2302,2024-09-07,17,5,login
328,3635,2025-09-02,52,19,add_to_cart
329,267,2026-01-29,42,10,add_to_cart
330,4043,2025-04-26,27,10,add_to_cart
331,657,2026-04-15,40,6,add_to_cart
332,4203,2025-08-15,56,1,purchase
333,2951,2024-07-23,38,3,login
334,3656,2025-01-25,30,3,add_to_cart
335,1215,2025-03-22,32,16,view
336,1115,2024-07-09,24,18,login
337,3161,2025-03-10,30,14,view
338,379,2024-10-20,36,2,login
339,478,2024-08-24,33,6,view
340,2053,2024-08-05,37,12,login
341,4449,2024-10-03,16,16,add_to_cart
342,3027,2026-01-23,48,3,add_to_cart
343,654,2024-07-24,29,8,login
344,1335,2026-04-01,36,3,add_to_cart
345,1403,2024-12-01,12,10,login
346,1453,2026-02-21,56,12,view
347,1061,2025-05-09,58,15,add_to_cart
348,3117,2024-06-20,48,17,login
349,1669,2025-07-24,16,11,login
350,4165,2024-09-19,33,18,view
351,2530,2025-04-26,44,14,view
352,325,2026-02-16,56,8,view
353,1441,2025-01-14,58,9,view
354,28,2026-02-08,29,16,login
355,2094,2024-09-04,17,16,login
356,2925,2025-12-03,43,9,login
357,4157,2026-05-08,2,10,login
358,314,2025-08-22,53,14,login
359,4527,2026-02-03,3,16,login
360,1722,2024-06-26,54,18,view
361,1887,2024-12-29,2,18,add_to_cart
362,330,2024-12-31,2,18,login
363,1035,2026-01-17,33,19,add_to_cart
364,3075,2026-02-24,40,2,view
365,3918,2026-03-05,23,14,login
366,2807,2025-04-28,22,9,login
367,697,2026-03-30,30,8,view
368,3308,2024-07-19,56,18,purchase
369,1322,2026-04-27,48,12,login
370,159,2025-08-10,11,17,login
371,2311,2025-12-12,52,3,login
372,2625,2024-08-13,31,5,login
373,1186,2025-12-05,13,17,view
374,2970,2025-10-03,12,2,login
375,1643,2025-07-09,10,17,purchase
376,4898,2026-05-21,12,2,add_to_cart
377,844,2024-09-03,5,7,login
378,4126,2025-01-01,4,18,view
379,1788,2024-07-15,4,14,login
380,4581,2026-03-02,24,15,view
381,730,2026-02-07,44,18,login
382,1413,2025-08-18,22,13,login
383,4116,2026-03-31,32,8,view
384,2763,2024-12-16,2,19,view
385,1701,2025-01-14,30,5,add_to_cart
386,3652,2025-05-11,54,17,view
387,227,2025-08-28,22,2,login
388,4451,2025-02-23,14,4,add_to_cart
389,2486,2025-01-06,31,10,add_to_cart
390,3559,2025-01-19,19,13,add_to_cart
391,812,2025-08-29,8,5,view
392,4432,2026-04-26,3,9,login
393,3052,2025-03-16,14,12,view
394,545,2024-07-09,9,19,login
395,8,2026-03-15,24,12,login
396,4935,2025-04-25,36,15,add_to_cart
397,3944,2024-06-24,3,17,view
398,4032,2025-09-17,53,10,login
399,2166,2025-11-26,40,5,login
400,1260,2026-03-08,52,7,login
401,3137,2026-04-06,4,13,view
402,4287,2026-01-11,35,2,add_to_cart
403,4756,2025-03-01,3,10,view
404,3893,2026-03-21,56,13,view
405,102,2026-05-22,2,5,login
406,30,2026-05-25,17,15,add_to_cart
407,1750,2025-07-10,55,18,add_to_cart
408,2435,2024-07-12,50,16,add_to_cart
409,2502,2025-05-03,23,8,login
410,3018,2026-03-20,55,8,login
411,931,2024-09-26,23,14,view
412,2561,2025-12-05,39,17,login
413,2479,2025-06-05,56,15,view
414,3628,2025-01-05,44,11,view
415,1776,2025-03-07,24,1,add_to_cart
416,1013,2025-04-21,20,8,view
417,2162,2025-05-17,2,8,view
418,4612,2025-09-20,42,15,add_to_cart
419,1257,2025-08-23,39,6,view
420,3618,2024-12-04,23,2,purchase
421,3894,2025-11-29,38,2,login
422,2596,2025-10-09,52,8,view
423,3550,2025-10-24,24,8,login
424,4121,2025-08-14,25,11,login
425,3562,2026-05-27,24,18,view
426,3712,2026-03-25,49,8,view
427,1331,2025-03-13,15,16,login
428,2269,2025-09-02,22,12,view
429,2238,2025-11-05,34,11,add_to_cart
430,686,2024-07-17,16,9,view
431,2716,2025-06-29,21,3,view
432,4954,2025-01-02,53,15,add_to_cart
433,302,2024-10-04,12,16,login
434,1123,2025-10-01,21,10,login
435,1284,2025-01-14,27,12,login
436,597,2024-08-15,7,4,view
437,1256,2025-02-07,41,14,view
438,4980,2024-10-05,39,10,add_to_cart
439,2938,2025-11-14,37,6,add_to_cart
440,1668,2025-10-09,39,6,view
441,722,2025-11-09,45,15,login
442,229,2024-06-28,57,16,view
443,1502,2025-01-27,46,16,login
444,2594,2025-10-10,57,6,view
445,4661,2025-03-21,3,2,add_to_cart
446,3338,2025-06-03,27,9,login
447,3982,2026-06-08,30,18,add_to_cart
448,2378,2026-04-14,17,8,login
449,3437,2025-11-03,43,17,view
450,2065,2025-05-26,8,6,add_to_cart
451,531,2026-05-22,7,14,view
452,283,2025-05-16,1,15,view
453,154,2024-11-02,6,14,view
454,3130,2025-02-16,26,8,login
455,4514,2026-04-05,48,18,login
456,458,2024-11-10,14,17,view
457,774,2025-11-21,39,9,view
458,2351,2026-01-28,27,6,add_to_cart
459,3733,2025-10-16,10,6,view
460,668,2025-08-04,46,2,login
461,3456,2025-01-25,7,10,view
462,836,2025-06-03,22,3,purchase
463,1570,2025-04-27,28,11,add_to_cart
464,3685,2026-01-21,52,9,login
465,1702,2025-04-15,29,9,purchase
466,2229,2025-09-28,38,16,login
467,307,2024-08-21,17,2,login
468,1507,2026-04-29,15,12,view
469,3242,2025-09-25,29,5,view
470,4966,2026-03-04,16,16,add_to_cart
471,1925,2025-03-11,5,6,view
472,2056,2024-11-14,26,3,add_to_cart
473,211,2024-07-20,40,11,view
474,1611,2024-08-29,26,1,add_to_cart
475,3408,2025-04-15,32,15,login
476,3285,2026-06-14,46,18,login
477,753,2026-04-12,20,11,view
478,1036,2025-01-23,30,8,purchase
479,4212,2025-07-05,44,18,add_to_cart
480,4045,2024-10-01,22,6,view
481,2596,2025-07-28,10,15,view
482,2234,2025-10-18,42,2,login
483,2833,2025-04-23,49,3,login
484,3265,2024-09-19,36,18,login
485,4031,2025-06-15,53,10,view
486,1628,2025-01-29,25,6,login
487,398,2025-11-20,52,14,view
488,4792,2025-12-21,27,13,add_to_cart
489,2675,2025-04-03,56,15,view
490,1258,2026-05-08,53,15,add_to_cart
491,3270,2025-07-23,38,15,view
492,3678,2025-02-19,7,4,login
493,885,2025-09-11,14,10,login
494,4845,2026-05-21,37,9,view
495,1314,2024-06-27,56,1,login
496,3154,2024-09-28,22,1,add_to_cart
497,3556,2026-02-13,34,15,login
498,4797,2025-12-01,25,8,login
499,352,2025-04-12,22,11,add_to_cart
500,1033,2024-09-24,1,19,login
501,1199,2025-10-01,11,4,login
502,678,2026-03-04,5,13,login
503,4786,2025-05-28,54,6,view
504,2366,2025-04-13,21,13,login
505,196,2024-08-20,41,12,login
506,1067,2024-09-17,45,6,add_to_cart
507,4059,2026-01-26,22,9,add_to_cart
508,4435,2025-04-15,27,15,login
509,1199,2025-04-12,7,14,login
510,3709,2024-09-30,27,4,login
511,502,2026-02-03,18,18,view
512,3156,2025-12-26,41,15,login
513,1491,2025-08-09,20,13,login
514,3624,2025-04-21,28,11,add_to_cart
515,544,2025-05-20,44,7,view
516,4642,2024-06-22,14,2,view
517,752,2026-02-02,42,12,view
518,2194,2024-11-10,56,8,add_to_cart
519,2987,2025-02-10,50,14,add_to_cart
520,4280,2025-09-22,57,8,view
521,3961,2025-07-26,42,17,add_to_cart
522,2228,2024-09-23,21,14,view
523,3813,2025-01-11,39,1,view
524,1134,2026-03-05,48,10,login
525,1753,2025-04-22,40,19,purchase
526,309,2026-04-27,27,8,add_to_cart
527,1915,2025-08-15,35,18,login
528,2872,2025-09-20,29,15,view
529,2095,2026-05-29,53,9,purchase
530,4342,2025-10-19,49,2,view
531,4728,2026-02-16,47,8,login
532,3389,2025-11-22,20,17,view
533,2057,2025-05-02,8,7,login
534,490,2025-06-26,43,4,view
535,4239,2025-11-03,44,7,purchase
536,4558,2024-07-21,41,3,view
537,3037,2024-09-21,26,2,add_to_cart
538,3740,2025-04-19,1,1,view
539,4761,2025-03-30,27,3,add_to_cart
540,870,2025-04-05,33,18,add_to_cart
541,3423,2024-10-16,21,6,view
542,3676,2026-03-29,49,8,view
543,2247,2025-07-07,13,17,login
544,4645,2026-01-16,3,12,login
545,965,2025-07-02,41,8,login
546,4752,2026-03-16,19,12,login
547,2436,2025-11-29,15,11,add_to_cart
548,3040,2025-01-31,13,11,add_to_cart
549,953,2024-07-20,39,2,login
550,2844,2024-10-16,56,4,view
551,2980,2024-08-03,56,14,add_to_cart
552,965,2026-05-13,26,15,view
553,3185,2025-03-25,11,19,login
554,4625,2026-03-16,5,12,add_to_cart
555,2853,2026-06-12,18,2,view
556,743,2025-07-07,31,5,view
557,1904,2024-09-26,29,9,login
558,3645,2024-11-23,46,17,view
559,3468,2024-08-22,45,14,login
560,3251,2025-12-24,8,13,view
561,2502,2026-06-14,22,10,add_to_cart
562,4689,2024-10-08,18,15,login
563,2840,2025-02-21,37,4,view
564,4937,2024-10-08,19,1,view
565,2531,2025-01-14,3,6,view
566,1906,2024-11-02,6,9,login
567,2723,2024-11-20,15,7,purchase
568,1331,2025-03-07,30,8,add_to_cart
569,2396,2024-10-11,3,10,add_to_cart
570,2887,2025-03-08,13,7,view
571,2748,2026-03-20,6,9,view
572,2763,2026-01-13,9,7,add_to_cart
573,4079,2025-04-15,57,18,login
574,1012,2026-03-23,33,10,login
575,2093,2024-07-12,17,7,login
576,691,2024-06-16,16,11,purchase
577,4935,2025-07-25,10,5,view
578,320,2025-02-20,12,9,login
579,878,2026-01-15,47,6,login
580,2157,2026-03-28,12,19,login
581,4898,2025-07-26,42,4,view
582,2127,2026-03-28,48,11,view
583,2785,2025-10-10,12,15,view
584,2152,2025-02-10,19,18,login
585,3353,2025-09-25,29,13,view
586,3043,2025-04-15,39,15,view
587,1507,2026-04-29,16,10,login
588,1166,2024-08-03,25,19,purchase
589,2707,2025-06-02,47,10,purchase
590,4595,2024-11-02,21,14,view
591,2935,2024-09-07,36,19,view
592,4256,2025-03-24,21,10,login
593,4330,2026-04-06,32,7,add_to_cart
594,1907,2024-07-29,16,1,view
595,2809,2025-03-06,10,9,view
596,98,2026-02-06,34,17,view
597,1692,2024-10-10,17,1,view
598,1796,2024-06-22,45,7,add_to_cart
599,1876,2025-10-15,22,2,add_to_cart
600,3732,2025-03-22,50,9,login
601,1033,2026-05-22,21,2,view
602,1898,2026-01-05,58,16,view
603,1300,2026-05-13,44,4,add_to_cart
604,2831,2024-12-09,38,10,view
605,2586,2025-02-27,36,10,login
606,3187,2024-11-17,46,3,purchase
607,612,2026-02-02,22,16,add_to_cart
608,4691,2024-08-23,39,9,view
609,1571,2024-11-09,27,13,add_to_cart
610,730,2025-12-26,35,8,login
611,1063,2024-09-16,51,19,view
612,4420,2025-07-21,55,9,add_to_cart
613,3624,2025-01-13,22,19,login
614,350,2025-03-31,30,13,login
615,610,2026-05-30,25,16,add_to_cart
616,3251,2025-05-03,8,3,view
617,3809,2024-06-28,40,13,add_to_cart
618,1365,2025-02-26,3,5,add_to_cart
619,3607,2025-10-04,42,3,view
620,1403,2026-03-22,12,6,view
621,4937,2025-10-13,8,2,add_to_cart
622,4526,2024-12-11,20,8,view
623,4669,2025-01-25,6,12,purchase
624,841,2025-11-13,8,4,login
625,3704,2024-10-10,55,15,view
626,1510,2024-12-21,46,7,login
627,3904,2024-10-10,51,17,add_to_cart
628,1085,2024-09-22,41,15,add_to_cart
629,599,2025-12-31,47,13,view
630,4957,2025-12-25,48,16,purchase
631,3603,2025-12-20,15,14,login
632,1644,2024-09-19,23,16,view
633,3853,2024-06-21,56,13,login
634,2044,2025-09-28,32,2,login
635,477,2024-08-21,34,3,add_to_cart
636,2798,2026-05-02,37,18,view
637,2471,2024-10-08,47,1,login
638,809,2026-06-01,35,12,view
639,3898,2026-04-29,8,17,view
640,4059,2025-09-08,10,2,view
641,2592,2025-01-12,15,4,login
642,805,2026-05-28,48,19,purchase
643,4073,2025-01-02,53,7,add_to_cart
644,3134,2026-05-07,22,6,login
645,4478,2026-01-15,36,12,login
646,3250,2024-12-08,42,8,login
647,4902,2025-12-31,30,17,login
648,2589,2024-09-08,55,13,login
649,2458,2026-02-21,3,13,add_to_cart
650,1663,2026-03-10,47,11,add_to_cart
651,1764,2025-01-17,19,6,login
652,1740,2026-05-22,42,3,add_to_cart
653,99,2025-12-10,55,16,view
654,1923,2025-10-26,23,15,add_to_cart
655,262,2026-02-26,21,8,add_to_cart
656,941,2024-08-13,56,17,add_to_cart
657,3904,2025-01-20,10,18,view
658,2597,2026-04-16,54,17,add_to_cart
659,4610,2024-07-10,6,12,view
660,1787,2026-03-05,52,13,login
661,4905,2026-05-18,22,2,login
662,1122,2025-08-08,35,8,login
663,3136,2026-06-05,32,12,view
664,1786,2026-02-19,6,11,view
665,4898,2025-06-28,10,16,view
666,3149,2025-07-18,53,10,view
667,3824,2024-12-05,1,13,login
668,1343,2025-01-08,21,17,view
669,2776,2025-12-07,29,9,add_to_cart
670,4513,2026-05-21,15,4,login
671,591,2026-02-27,33,1,view
672,630,2026-04-13,28,11,add_to_cart
673,272,2024-11-15,47,18,add_to_cart
674,3183,2025-11-26,23,11,view
675,252,2026-04-01,55,7,login
676,1211,2025-10-22,20,12,login
677,2741,2025-06-12,28,1,login
678,4787,2026-04-27,52,8,view
679,391,2026-03-26,39,19,view
680,2697,2025-06-25,51,15,view
681,3291,2025-09-18,40,16,view
682,4766,2026-01-28,44,8,view
683,3110,2025-08-12,51,12,view
684,4155,2024-10-11,21,16,add_to_cart
685,808,2025-12-03,36,11,add_to_cart
686,4951,2026-04-25,52,17,view
687,1318,2025-02-06,11,1,add_to_cart
688,1149,2024-07-21,3,3,view
689,4815,2026-01-24,41,13,add_to_cart
690,3027,2024-10-09,41,8,view
691,3892,2024-08-30,8,7,add_to_cart
692,2803,2026-06-06,51,15,login
693,107,2024-09-13,31,1,login
694,4612,2025-05-13,40,3,view
695,1724,2026-06-08,53,8,view
696,3596,2025-08-02,31,2,login
697,2922,2024-10-08,41,8,add_to_cart
698,4981,2024-12-10,22,8,view
699,2429,2024-08-27,27,3,view
700,3622,2024-12-01,3,4,view
701,666,2025-07-03,14,7,view
702,1491,2025-10-12,43,9,login
703,951,2026-06-16,29,2,view
704,1573,2025-08-29,47,8,purchase
705,1669,2026-04-19,10,4,login
706,426,2025-11-27,28,2,view
707,3635,2026-05-16,28,14,login
708,4350,2026-01-16,52,11,add_to_cart
709,2457,2025-07-22,6,9,purchase
710,676,2024-08-17,40,6,login
711,1857,2025-07-11,44,3,login
712,1237,2024-09-08,32,8,view
713,2341,2025-11-05,21,6,view
714,4159,2024-06-28,14,11,view
715,1347,2024-07-19,57,18,login
716,1248,2026-03-02,56,17,login
717,4608,2025-11-26,14,8,add_to_cart
718,4402,2025-08-30,10,7,login
719,4042,2025-04-09,10,19,view
720,185,2024-10-10,25,16,add_to_cart
721,1618,2026-04-16,43,4,login
722,4727,2025-02-12,40,13,view
723,216,2024-10-20,2,3,login
724,2145,2025-04-29,38,8,login
725,3110,2025-03-10,23,11,login
726,2836,2025-06-10,49,12,login
727,3612,2025-07-24,7,9,login
728,4525,2026-02-05,15,4,add_to_cart
729,3409,2025-10-07,26,4,login
730,1140,2026-01-23,29,15,add_to_cart
731,2095,2026-03-03,15,2,view
732,4316,2025-05-20,10,7,add_to_cart
733,834,2026-03-07,51,9,view
